Chromosome,chromStart,chromEnd,Name,Stain
chr1,0,2300000,grenouille,gneg
chr1,2300000,5300000,minou,gpos25
chr1,5300000,7100000,chien,gneg
chr1,7100000,9100000,vache,gpos25
chr1,9100000,12500000,p36.22,gneg
chr1,12500000,15900000,p36.21,gpos50
chr1,15900000,20100000,p36.13,gneg
chr1,20100000,23600000,p36.12,gpos25
chr1,23600000,27600000,p36.11,gneg
chr1,27600000,29900000,p35.3,gpos25
chr1,29900000,32300000,p35.2,gneg
chr1,32300000,34300000,p35.1,gpos25
chr1,34300000,39600000,p34.3,gneg
chr1,39600000,43700000,p34.2,gpos25
chr1,43700000,46300000,p34.1,gneg
chr1,46300000,50200000,p33,gpos75
chr1,50200000,55600000,p32.3,gneg
chr1,55600000,58500000,p32.2,gpos50
chr1,58500000,60800000,p32.1,gneg
chr1,60800000,68500000,p31.3,gpos50
chr1,68500000,69300000,p31.2,gneg
chr1,69300000,84400000,p31.1,gpos100
chr1,84400000,87900000,p22.3,gneg
chr1,87900000,91500000,p22.2,gpos75
chr1,91500000,94300000,p22.1,gneg
chr1,94300000,99300000,p21.3,gpos75
chr1,99300000,101800000,p21.2,gneg
chr1,101800000,106700000,p21.1,gpos100
chr1,106700000,111200000,p13.3,gneg
chr1,111200000,115500000,p13.2,gpos50
chr1,115500000,117200000,p13.1,gneg
chr1,117200000,120400000,p12,gpos50
chr1,120400000,121700000,p11.2,gneg
chr1,121700000,123400000,p11.1,acen
chr1,123400000,125100000,q11,acen
chr1,125100000,143200000,q12,gvar
chr1,143200000,147500000,q21.1,gneg
chr1,147500000,150600000,q21.2,gpos50
chr1,150600000,155100000,q21.3,gneg
chr1,155100000,156600000,q22,gpos50
chr1,156600000,159100000,q23.1,gneg
chr1,159100000,160500000,q23.2,gpos50
chr1,160500000,165500000,q23.3,gneg
chr1,165500000,167200000,q24.1,gpos50
chr1,167200000,170900000,q24.2,gneg
chr1,170900000,173000000,q24.3,gpos75
chr1,173000000,176100000,q25.1,gneg
chr1,176100000,180300000,q25.2,gpos50
chr1,180300000,185800000,q25.3,gneg
chr1,185800000,190800000,q31.1,gpos100
chr1,190800000,193800000,q31.2,gneg
chr1,193800000,198700000,q31.3,gpos100
chr1,198700000,207100000,q32.1,gneg
chr1,207100000,211300000,q32.2,gpos25
chr1,211300000,214400000,q32.3,gneg
chr1,214400000,223900000,q41,gpos100
chr1,223900000,224400000,q42.11,gneg
chr1,224400000,226800000,q42.12,gpos25
chr1,226800000,230500000,q42.13,gneg
chr1,230500000,234600000,q42.2,gpos50
chr1,234600000,236400000,q42.3,gneg
chr1,236400000,243500000,q43,gpos75
chr1,243500000,248956422,q44,gneg
chr2,0,4400000,p25.3,gneg
chr2,4400000,6900000,p25.2,gpos50
chr2,6900000,12000000,p25.1,gneg
chr2,12000000,16500000,p24.3,gpos75
chr2,16500000,19000000,p24.2,gneg
chr2,19000000,23800000,p24.1,gpos75
chr2,23800000,27700000,p23.3,gneg
chr2,27700000,29800000,p23.2,gpos25
chr2,29800000,31800000,p23.1,gneg
chr2,31800000,36300000,p22.3,gpos75
chr2,36300000,38300000,p22.2,gneg
chr2,38300000,41500000,p22.1,gpos50
chr2,41500000,47500000,p21,gneg
chr2,47500000,52600000,p16.3,gpos100
chr2,52600000,54700000,p16.2,gneg
chr2,54700000,61000000,p16.1,gpos100
chr2,61000000,63900000,p15,gneg
chr2,63900000,68400000,p14,gpos50
chr2,68400000,71300000,p13.3,gneg
chr2,71300000,73300000,p13.2,gpos50
chr2,73300000,74800000,p13.1,gneg
chr2,74800000,83100000,p12,gpos100
chr2,83100000,91800000,p11.2,gneg
chr2,91800000,93900000,p11.1,acen
chr2,93900000,96000000,q11.1,acen
chr2,96000000,102100000,q11.2,gneg
chr2,102100000,105300000,q12.1,gpos50
chr2,105300000,106700000,q12.2,gneg
chr2,106700000,108700000,q12.3,gpos25
chr2,108700000,112200000,q13,gneg
chr2,112200000,118100000,q14.1,gpos50
chr2,118100000,121600000,q14.2,gneg
chr2,121600000,129100000,q14.3,gpos50
chr2,129100000,131700000,q21.1,gneg
chr2,131700000,134300000,q21.2,gpos25
chr2,134300000,136100000,q21.3,gneg
